PO Number,Supplier,Department,Category,PO Amount ($),PO Date,Amount Spent ($)
PO-0001,Supplier A,Clinical,Office Supplies,70940,2027-04-05,62165.82
PO-0002,Supplier B,Quality,Equipment,77385,2025-12-12,66520.0
PO-0003,Supplier C,IT,Hardware,23197,2026-09-06,19964.0
PO-0004,Supplier D,R&D,Lab Supplies,143774,2026-12-01,137717.6
PO-0005,Supplier E,IT,Hardware,5995,2026-10-10,5124.09
PO-0006,Supplier F,IT,Office Supplies,64812,2025-06-15,55386.16
PO-0007,Supplier G,Finance,Office Supplies,6245,2025-11-19,4862.7
PO-0008,Supplier H,Facilities,Reagents,136538,2027-06-15,90917.02
PO-0009,Supplier I,Finance,Lab Supplies,16475,2026-03-20,9982.5
PO-0010,Supplier J,R&D,Office Supplies,9784,2026-08-31,5945.54
PO-0011,Supplier K,Facilities,Lab Supplies,72287,2027-01-15,56049.14
PO-0012,Supplier L,IT,Hardware,116521,2025-10-26,104290.67
PO-0013,Supplier M,Facilities,Consulting,119969,2027-05-02,102497.55
PO-0014,Supplier N,IT,Consulting,90264,2026-10-03,83514.82
PO-0015,Supplier O,Manufacturing,Reagents,78425,2025-08-08,49415.1
PO-0016,Supplier P,Clinical,Reagents,22247,2026-09-18,17874.0
PO-0017,Supplier Q,Clinical,Reagents,74213,2027-01-28,65824.12
PO-0018,Supplier R,IT,Lab Supplies,121567,2027-02-25,109739.23
PO-0019,Supplier S,Clinical,Lab Supplies,125209,2025-04-21,77685.14
PO-0020,Supplier T,Finance,Equipment,54731,2026-09-28,46309.17
PO-0021,Supplier U,Finance,Consulting,29583,2026-11-26,21032.66
PO-0022,Supplier V,Clinical,Software,39711,2027-07-02,27758.64
PO-0023,Supplier W,Facilities,Lab Supplies,34376,2027-03-23,23146.31
PO-0024,Supplier X,IT,Consulting,47478,2026-08-12,40050.01
PO-0025,Supplier Y,Finance,Equipment,115018,2026-11-11,71936.68
PO-0026,Supplier Z,Quality,Lab Supplies,134030,2025-08-27,113690.8
PO-0027,Supplier A,Finance,Hardware,105116,2025-11-15,65072.0
PO-0028,Supplier B,Finance,Hardware,126829,2027-03-17,100139.52
PO-0029,Supplier C,Clinical,Consulting,32938,2025-06-05,21386.72
PO-0030,Supplier D,Clinical,Office Supplies,82325,2026-02-14,60778.51
PO-0031,Supplier E,Facilities,Lab Supplies,82058,2025-02-19,61503.57
PO-0032,Supplier F,Finance,Equipment,129108,2025-09-13,100220.38
PO-0033,Supplier G,Finance,Equipment,43847,2026-12-24,37298.44
PO-0034,Supplier H,R&D,Equipment,126175,2025-01-20,95711.72
PO-0035,Supplier I,Finance,Hardware,61922,2025-12-20,57159.95
PO-0036,Supplier J,Quality,Equipment,149591,2026-06-30,141948.65
PO-0037,Supplier K,Clinical,Office Supplies,41311,2025-08-07,30568.94
PO-0038,Supplier L,Quality,Hardware,23074,2027-09-13,20673.23
PO-0039,Supplier M,R&D,Software,96450,2025-08-21,92075.5
PO-0040,Supplier N,IT,Consulting,74313,2027-01-05,56030.61
PO-0041,Supplier O,Quality,Software,41943,2027-09-09,30837.8
PO-0042,Supplier P,Facilities,Equipment,46672,2025-09-07,30774.23
PO-0043,Supplier Q,R&D,Office Supplies,101576,2025-02-15,71396.11
PO-0044,Supplier R,Facilities,Hardware,145363,2027-06-16,114654.83
PO-0045,Supplier S,Facilities,Hardware,27454,2026-05-15,23434.44
PO-0046,Supplier T,Quality,Hardware,92871,2025-11-03,72607.79
PO-0047,Supplier U,Clinical,Consulting,57968,2025-02-23,36553.36
PO-0048,Supplier V,Quality,Office Supplies,75865,2026-02-02,72661.91
PO-0049,Supplier W,IT,Office Supplies,55934,2027-07-15,34859.04
PO-0050,Supplier X,IT,Software,65665,2026-10-22,49191.9
PO-0051,Supplier Y,R&D,Lab Supplies,97553,2026-12-07,79996.66
PO-0052,Supplier Z,Quality,Reagents,90358,2026-01-10,76250.4
PO-0053,Supplier A,Manufacturing,Lab Supplies,91060,2025-05-20,60660.2
PO-0054,Supplier B,Finance,Software,67984,2027-08-25,52561.71
PO-0055,Supplier C,Finance,Reagents,126344,2026-05-23,126282.61
PO-0056,Supplier D,R&D,Reagents,130148,2027-01-14,98585.04
PO-0057,Supplier E,Finance,Lab Supplies,35885,2025-09-14,21729.36
PO-0058,Supplier F,R&D,Software,95439,2026-01-08,74586.76
PO-0059,Supplier G,Quality,Reagents,41552,2025-12-14,29638.94
PO-0060,Supplier H,Manufacturing,Hardware,141952,2025-06-29,122846.46
PO-0061,Supplier I,IT,Reagents,88249,2026-03-21,74927.1
PO-0062,Supplier J,Quality,Office Supplies,38893,2025-12-19,38806.3
PO-0063,Supplier K,Finance,Lab Supplies,32535,2025-08-22,27171.4
PO-0064,Supplier L,Manufacturing,Equipment,26228,2026-04-13,20316.71
PO-0065,Supplier M,Finance,Lab Supplies,69318,2026-03-31,49156.3
PO-0066,Supplier N,Manufacturing,Office Supplies,11677,2026-11-09,7470.22
PO-0067,Supplier O,Quality,Software,123838,2025-04-25,112088.26
PO-0068,Supplier P,Finance,Equipment,65814,2026-05-06,57981.7
PO-0069,Supplier Q,Facilities,Software,60034,2026-06-14,52620.21
